Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
UAB,Blazers,"Birmingham, Alabama",1969,2023,,21923,American Athletic Conference
East Carolina,Pirates,"Greenville, North Carolina",1907,2014,,28028,American Athletic Conference
Florida Atlantic,Owls,"Boca Raton, Florida",1961,2023,,30171,American Athletic Conference
Memphis,Tigers,"Memphis, Tennessee",1912,2013,,21458,American Athletic Conference
Charlotte,49ers,"Charlotte, North Carolina",1946,2023,,30146,American Athletic Conference
North Texas,Mean Green,"Denton, Texas",1890,2023,,42375,American Athletic Conference
Rice,Owls,"Houston, Texas",1912,2023,,7124,American Athletic Conference
South Florida,Bulls,"Tampa, Florida",1956,2013,,50830,American Athletic Conference
Southern Methodist,Mustangs,"University Park, Texas",1911,2013,,11649,American Athletic Conference
Temple,Owls,"Philadelphia, Pennsylvania",1884,2013,,37365,American Athletic Conference
UTSA,Roadrunners,"San Antonio, Texas",1969,2023,,34734,American Athletic Conference
Tulane,Green Wave,"New Orleans, Louisiana",1834,2014,,14472,American Athletic Conference
Tulsa,Golden Hurricane,"Tulsa, Oklahoma",1894,2014,,3343,American Athletic Conference
Wichita State,Shockers,"Wichita, Kansas",1895,2017,,15778,American Athletic Conference
Central Florida,Knights,"Orlando, Florida",1963,2013,2023.0,0,American Athletic Conference
Cincinnati,Bearcats,"Cincinnati, Ohio",1819,2013,2023.0,0,American Athletic Conference
Houston,Cougars,"Houston, Texas",1927,2013,2023.0,0,American Athletic Conference
Rutgers,Scarlet Knights,"New Brunswick, New Jersey",1766,2013,2014.0,0,American Athletic Conference
Louisville,Cardinals,"Louisville, Kentucky",1798,2013,2014.0,0,American Athletic Conference
Connecticut,Huskies,"Storrs, Connecticut",1881,2013,2020.0,0,American Athletic Conference
Connecticut,Huskies,"Storrs, Connecticut",1881,2013,2020.0,0,American Athletic Conference
Clemson,Tigers,"Clemson, South Carolina",1889,1953,,25822,ACC
Duke,Blue Devils,"Durham, North Carolina",1838,1953,,16780,ACC
North Carolina,Tar Heels,"Chapel Hill, North Carolina",1789,1953,,30101,ACC
NC State,Wolfpack,"Raleigh, North Carolina",1887,1953,,36304,ACC
Wake Forest,Demon Deacons,"Winston-Salem, North Carolina",1834,1953,,8789,ACC
Virginia,Cavaliers,"Charlottesville, Virginia",1819,1953,,25018,ACC
Georgia Tech,Yellow Jackets,"Atlanta, Georgia",1885,1979,,36489,ACC
Florida State,Seminoles,"Tallahassee, Florida",1851,1991,,45493,ACC
Miami (FL),Hurricanes,"Coral Gables, Florida",1925,2004,,17811,ACC
Virginia Tech,Hokies,"Blacksburg, Virginia",1872,2004,,36383,ACC
